alpha,beta,llhd
13.7157894736842,42.1210526315789,-5089.82910085239
14.7631578947368,42.1210526315789,-5116.94041534272
15.8105263157895,42.1210526315789,-5143.6874871294
16.8578947368421,42.1210526315789,-5170.04752087927
17.9052631578947,42.1210526315789,-5196.00578118795
18.9526315789474,42.1210526315789,-5221.55366582571
20.0,42.1210526315789,-5246.68723434476
0.1,44.7473684210526,-4770.30054953472
1.14736842105263,44.7473684210526,-4785.99692117248
2.19473684210526,44.7473684210526,-4806.43660131278
3.24210526315789,44.7473684210526,-4829.75165674357
4.28947368421053,44.7473684210526,-4854.9522308661
5.33684210526316,44.7473684210526,-4881.42138341201
6.38421052631579,44.7473684210526,-4908.72847306685
7.43157894736842,44.7473684210526,-4936.55090564862
8.47894736842105,44.7473684210526,-4964.6408752261
9.52631578947368,44.7473684210526,-4992.80842296215
10.5736842105263,44.7473684210526,-5020.9095928453
11.6210526315789,44.7473684210526,-5048.83671636201
12.6684210526316,44.7473684210526,-5076.51034760878
13.7157894736842,44.7473684210526,-5103.87275148721
14.7631578947368,44.7473684210526,-5130.88278122756
15.8105263157895,44.7473684210526,-5157.51191757789
16.8578947368421,44.7473684210526,-5183.74123543426
17.9052631578947,44.7473684210526,-5209.55909074126
18.9526315789474,44.7473684210526,-5234.9593583188
20.0,44.7473684210526,-5259.94008798083
0.1,47.3736842105263,-4779.14010673378
1.14736842105263,47.3736842105263,-4796.44871952421
2.19473684210526,47.3736842105263,-4818.03770490243
3.24210526315789,47.3736842105263,-4842.18926710517
4.28947368421053,47.3736842105263,-4867.99873486425
