env_step,rew,rew_std,Agent
4730880,396.9333,91.251,REINFORCE
4761600,417.5429,78.3296,REINFORCE
4792320,387.9348,104.9392,REINFORCE
4823040,380.8827,73.3557,REINFORCE
4853760,373.8808,85.8424,REINFORCE
4884480,407.9777,105.0307,REINFORCE
4915200,402.8455,66.1868,REINFORCE
4945920,404.205,58.5461,REINFORCE
4976640,386.6169,125.2089,REINFORCE
5007360,408.7262,123.4934,REINFORCE
5038080,408.2545,86.5406,REINFORCE
5068800,388.8189,52.579,REINFORCE
5099520,394.7104,99.5027,REINFORCE
5130240,401.2406,136.2089,REINFORCE
5160960,398.7414,79.958,REINFORCE
5191680,373.4073,77.1063,REINFORCE
5222400,393.8529,43.3438,REINFORCE
5253120,401.865,102.3126,REINFORCE
5283840,380.1387,54.8124,REINFORCE
5314560,387.9333,86.9538,REINFORCE
5345280,415.7576,97.4606,REINFORCE
5376000,411.729,39.457300000000004,REINFORCE
5406720,385.0198,43.8433,REINFORCE
5437440,407.4051,40.8758,REINFORCE
5468160,386.1591,76.381,REINFORCE
5498880,376.209,59.3498,REINFORCE
5529600,374.4433,65.4441,REINFORCE
5560320,381.2189,52.3455,REINFORCE
5591040,400.3018,52.0294,REINFORCE
5621760,365.557,72.3095,REINFORCE
5652480,385.0313,59.146,REINFORCE
5683200,397.3092,82.9393,REINFORCE
5713920,379.5796,92.9322,REINFORCE
5744640,369.3897,82.5958,REINFORCE
5775360,375.9339,65.9221,REINFORCE
5806080,385.4407,49.7583,REINFORCE
5836800,358.2405,76.576,REINFORCE
5867520,379.1335,85.8798,REINFORCE
5898240,390.6354,55.6648,REINFORCE
5928960,407.4857,53.7845,REINFORCE
5959680,389.4891,62.8058,REINFORCE
5990400,378.5658,85.5362,REINFORCE
6021120,421.8988,90.1603,REINFORCE
6051840,391.6838,84.9852,REINFORCE
6082560,396.7111,93.5643,REINFORCE
6113280,402.8608,80.8142,REINFORCE
6144000,391.1558,99.2084,REINFORCE
6174720,380.1508,96.9348,REINFORCE
6205440,398.3499,71.4008,REINFORCE
6236160,393.8231,67.8702,REINFORCE
6266880,370.8872,85.2826,REINFORCE
6297600,434.32,85.2785,REINFORCE
6328320,377.7296,127.8071,REINFORCE
6359040,375.258,131.5744,REINFORCE
6389760,380.6274,100.9078,REINFORCE
6420480,395.2915,96.0091,REINFORCE
6451200,415.9735,144.4578,REINFORCE
6481920,388.7657,98.0722,REINFORCE
6512640,410.147,121.3785,REINFORCE
6543360,420.5058,143.5157,REINFORCE
6574080,381.8966,117.6944,REINFORCE
6604800,380.0762,107.2386,REINFORCE
6635520,389.8562,143.3065,REINFORCE
6666240,390.21,106.5489,REINFORCE
6696960,440.9279,148.2265,REINFORCE
6727680,401.6778,126.5315,REINFORCE
6758400,406.0223,116.1778,REINFORCE
6789120,359.3388,81.5517,REINFORCE
6819840,402.2027,128.0781,REINFORCE
6850560,375.5144,100.1,REINFORCE
6881280,370.0802,94.1041,REINFORCE
6912000,387.4542,58.9515,REINFORCE
6942720,392.3885,113.2836,REINFORCE
6973440,384.8551,105.257,REINFORCE
7004160,392.4603,131.9155,REINFORCE
7034880,373.492,90.3701,REINFORCE
7065600,369.7354,118.7059,REINFORCE
7096320,398.9831,57.4786,REINFORCE
7127040,366.8138,101.1937,REINFORCE
7157760,385.3933,115.2182,REINFORCE
