Date,Price,Open,High,Low,Vol,Change,Unit,vol2,Volume,Year,Source
"Oct 23, 2018",205.68,207.03,207.95,202.99,19.71M,-0.53%,M,19.71,19710.00,2018,
"Oct 22, 2018",206.77,207.38,209.39,205.5,27.13M,-0.29%,M,27.13,27130.00,2018,
"Oct 21, 2018",207.37,207.76,211.65,207.04,14.65M,-0.32%,M,14.65,14650.00,2018,
"Oct 20, 2018",208.04,205.12,209.37,203.65,12.48M,1.50%,M,12.48,12480.00,2018,
"Oct 19, 2018",204.97,206.6,208.74,204.02,26.32M,-0.78%,M,26.32,26320.00,2018,
"Oct 18, 2018",206.58,213.16,215.23,203.95,16.21M,-3.22%,M,16.21,16210.00,2018,
"Oct 17, 2018",213.46,215.06,216.6,210.1,16.84M,-0.74%,M,16.84,16840.00,2018,
"Oct 16, 2018",215.06,214.27,218.71,211.37,20.24M,0.37%,M,20.24,20240.00,2018,
"Oct 15, 2018",214.26,197.09,235.83,195.4,41.35M,8.72%,M,41.35,41350.00,2018,
"Oct 14, 2018",197.08,201.22,207.53,195.51,12.89M,-2.06%,M,12.89,12890.00,2018,
"Oct 13, 2018",201.22,196.67,206.13,196.41,976.30K,2.30%,K,976.30,976.30,2018,
"Oct 12, 2018",196.7,190.89,202.9,190.89,1.69M,3.04%,M,1.69,1690.00,2018,
"Oct 11, 2018",190.89,226.33,226.36,188.65,3.50M,-15.65%,M,3.50,3500.00,2018,
"Oct 10, 2018",226.3,228.28,231.32,224.74,1.07M,-0.85%,M,1.07,1070.00,2018,
"Oct 09, 2018",228.25,229.83,232.66,226.81,945.43K,-0.69%,K,945.43,945.43,2018,
"Oct 08, 2018",229.84,226.11,231.66,224.79,1.30M,1.65%,M,1.30,1300.00,2018,
"Oct 07, 2018",226.11,225.19,227.44,222,1.47M,0.41%,M,1.47,1470.00,2018,
"Oct 06, 2018",225.18,228.34,228.69,223.01,8.20M,-1.38%,M,8.20,8200.00,2018,
"Oct 05, 2018",228.34,222.33,231.88,220,7.63M,2.59%,M,7.63,7630.00,2018,
"Oct 04, 2018",222.57,220.48,227.14,219.75,7.83M,0.93%,M,7.83,7830.00,2018,
"Oct 03, 2018",220.51,225.84,227.15,216.44,8.47M,-2.36%,M,8.47,8470.00,2018,
"Oct 02, 2018",225.84,231.77,232.97,223.75,8.17M,-2.56%,M,8.17,8170.00,2018,
"Oct 01, 2018",231.77,232.8,235.95,225.33,8.31M,-0.44%,M,8.31,8310.00,2018,
"Sep 30, 2018",232.8,231.9,238.64,227.01,8.74M,0.40%,M,8.74,8740.00,2018,
