Unnamed: 0,Date,Year,Energy Source,EnergyConsumption
439,2019,,8 Oil,2262.036133
440,2020,,1 Geo Biomass,8.066415787
441,2020,,3 Solar,42.1750679
442,2020,,4 Wind,55.9475708
443,2020,,5 Hydro,384.4180298
444,2020,,2 Nuclear,35.15513611
445,2020,,7 Gas,1535.972412
446,2020,,6 Coal,1157.901123
447,2020,,8 Oil,2011.052612
448,2021,,1 Geo Biomass,8.026316643
449,2021,,3 Solar,43.2150383
450,2021,,4 Wind,63.88870239
451,2021,,5 Hydro,401.4471436
452,2021,,2 Nuclear,26.17469978
453,2021,,7 Gas,1643.815063
454,2021,,6 Coal,1168.740601
455,2021,,8 Oil,2183.541992
