date,state,city,lat,lon,priceMax,priceMin,priceMod,quantity,year
1999-07-01,MS,NIPHAD,20.0799646,74.10931409999999,493.0,240.0,443.0,18805.0,1999.0
1999-07-01,MS,PIMPALGAON,20.1699678,73.98737870000001,501.0,304.0,441.0,161917.0,1999.0
1999-07-01,MS,PUNE,18.5204303,73.85674370000001,548.0,302.0,450.0,193343.0,1999.0
1999-07-01,MS,SAIKHEDA,22.962215,78.5831181,459.0,278.0,432.0,16346.0,1999.0
1999-07-01,MS,SINNAR,19.8530593,74.00063279999999,463.0,59.0,405.0,23223.0,1999.0
1999-08-01,GUJ,MAHUVA,21.0902193,71.75631690000002,441.0,307.0,405.0,20175.0,1999.0
1999-08-01,MS,CHAKAN,18.7602664,73.86303459999999,467.0,219.0,379.0,11200.0,1999.0
1999-08-01,MS,LASALGAON,20.1491422,74.2326058,427.0,177.0,397.0,134955.0,1999.0
1999-08-01,MS,LONAND,18.041706,74.1861821,477.0,260.0,380.0,2717.0,1999.0
1999-08-01,MS,MANMAD,20.2511789,74.43660159999999,417.0,242.0,397.0,25150.0,1999.0
1999-08-01,MS,NIPHAD,20.0799646,74.10931409999999,427.0,245.0,397.0,13417.0,1999.0
1999-08-01,MS,PIMPALGAON,20.1699678,73.98737870000001,433.0,341.0,395.0,133320.0,1999.0
1999-08-01,MS,PUNE,18.5204303,73.85674370000001,485.0,333.0,430.0,218589.0,1999.0
1999-08-01,MS,SAIKHEDA,22.962215,78.5831181,428.0,297.0,400.0,14260.0,1999.0
1999-08-01,MS,SINNAR,19.8530593,74.00063279999999,434.0,92.0,390.0,22420.0,1999.0
1999-09-01,GUJ,MAHUVA,21.0902193,71.75631690000002,660.0,455.0,621.0,14910.0,1999.0
1999-09-01,MS,CHAKAN,18.7602664,73.86303459999999,716.0,229.0,557.0,9200.0,1999.0
1999-09-01,MS,LASALGAON,20.1491422,74.2326058,659.0,206.0,619.0,98877.0,1999.0
1999-09-01,MS,LONAND,18.041706,74.1861821,673.0,463.0,597.0,36941.0,1999.0
1999-09-01,MS,MANMAD,20.2511789,74.43660159999999,643.0,415.0,591.0,20575.0,1999.0
1999-09-01,MS,NIPHAD,20.0799646,74.10931409999999,663.0,329.0,611.0,9802.0,1999.0
1999-09-01,MS,PIMPALGAON,20.1699678,73.98737870000001,664.0,482.0,608.0,88508.0,1999.0
1999-09-01,MS,PUNE,18.5204303,73.85674370000001,678.0,476.0,608.0,202004.0,1999.0
1999-09-01,MS,SAIKHEDA,22.962215,78.5831181,652.0,415.0,618.0,17040.0,1999.0
1999-09-01,MS,SINNAR,19.8530593,74.00063279999999,691.0,163.0,636.0,23215.0,1999.0
1999-10-01,GUJ,MAHUVA,21.0902193,71.75631690000002,619.0,384.0,572.0,12725.0,1999.0
1999-10-01,MS,CHAKAN,18.7602664,73.86303459999999,640.0,200.0,449.0,7625.0,1999.0
1999-10-01,MS,LASALGAON,20.1491422,74.2326058,664.0,202.0,611.0,94707.0,1999.0
1999-10-01,MS,LONAND,18.041706,74.1861821,546.0,250.0,444.0,36925.0,1999.0
1999-10-01,MS,MANMAD,20.2511789,74.43660159999999,617.0,335.0,554.0,13025.0,1999.0
1999-10-01,MS,NIPHAD,20.0799646,74.10931409999999,659.0,267.0,618.0,6687.0,1999.0
1999-10-01,MS,PIMPALGAON,20.1699678,73.98737870000001,662.0,440.0,587.0,98673.0,1999.0
1999-10-01,MS,PUNE,18.5204303,73.85674370000001,658.0,369.0,568.0,252051.0,1999.0
1999-10-01,MS,SAIKHEDA,22.962215,78.5831181,647.0,427.0,606.0,7575.0,1999.0
1999-10-01,MS,SINNAR,19.8530593,74.00063279999999,619.0,122.0,553.0,11016.0,1999.0
1999-11-01,GUJ,MAHUVA,21.0902193,71.75631690000002,448.0,250.0,390.0,16350.0,1999.0
1999-11-01,MS,CHAKAN,18.7602664,73.86303459999999,639.0,189.0,411.0,3780.0,1999.0
1999-11-01,MS,LASALGAON,20.1491422,74.2326058,537.0,157.0,439.0,136140.0,1999.0
1999-11-01,MS,LONAND,18.041706,74.1861821,525.0,253.0,431.0,45000.0,1999.0
1999-11-01,MS,MANMAD,20.2511789,74.43660159999999,481.0,221.0,394.0,33575.0,1999.0
1999-11-01,MS,NIPHAD,20.0799646,74.10931409999999,522.0,224.0,465.0,5176.0,1999.0
