Unnamed: 0,Date,type,value,area
440,01-May-12,northwest_error,0.67282867,Northwest
441,01-May-12,westmidlands_error,-1.4150314,Westmidlands
442,01-May-12,london_error,0.17384338,London
443,01-May-12,southwest_error,-1.0170975,Southwest
444,01-May-12,england_error,-0.46995544,England
445,01-Jun-12,northwest_error,0.57696533,Northwest
446,01-Jun-12,westmidlands_error,-1.4367523,Westmidlands
447,01-Jun-12,london_error,0.38732147,London
448,01-Jun-12,southwest_error,-1.0695267,Southwest
449,01-Jun-12,england_error,-0.42575836,England
450,01-Jul-12,northwest_error,0.58421326,Northwest
451,01-Jul-12,westmidlands_error,-1.4545517,Westmidlands
452,01-Jul-12,london_error,0.50681305,London
453,01-Jul-12,southwest_error,-1.0170364,Southwest
454,01-Jul-12,england_error,-0.37653351,England
455,01-Aug-12,northwest_error,0.58834839,Northwest
456,01-Aug-12,westmidlands_error,-1.6762695,Westmidlands
457,01-Aug-12,london_error,0.62029266,London
458,01-Aug-12,southwest_error,-0.96945953,Southwest
459,01-Aug-12,england_error,-0.3323288,England
460,01-Sep-12,northwest_error,0.49249268,Northwest
461,01-Sep-12,westmidlands_error,-1.4979935,Westmidlands
462,01-Sep-12,london_error,1.0337753,London
463,01-Sep-12,southwest_error,-0.82189178,Southwest
464,01-Sep-12,england_error,-0.18813324,England
465,01-Oct-12,northwest_error,0.49972534,Northwest
466,01-Oct-12,westmidlands_error,-1.4157791,Westmidlands
467,01-Oct-12,london_error,1.1532669,London
468,01-Oct-12,southwest_error,-0.76940155,Southwest
469,01-Oct-12,england_error,-0.13890076,England
470,01-Nov-12,northwest_error,0.40386963,Northwest
471,01-Nov-12,westmidlands_error,-1.4375,Westmidlands
472,01-Nov-12,london_error,1.1667404,London
473,01-Nov-12,southwest_error,-0.92182922,Southwest
474,01-Nov-12,england_error,-0.094703674,England
475,01-Dec-12,northwest_error,0.41110229,Northwest
476,01-Dec-12,westmidlands_error,-1.3553009,Westmidlands
477,01-Dec-12,london_error,1.3862381,London
478,01-Dec-12,southwest_error,-0.96933746,Southwest
479,01-Dec-12,england_error,-0.045471191,England
480,01-Jan-13,northwest_error,0.31524658,Northwest
481,01-Jan-13,westmidlands_error,-1.3770142,Westmidlands
482,01-Jan-13,london_error,1.4997101,London
483,01-Jan-13,southwest_error,-1.0217667,Southwest
484,01-Jan-13,england_error,-0.10127258,England
485,01-Feb-13,northwest_error,0.21939087,Northwest
486,01-Feb-13,westmidlands_error,-1.398735,Westmidlands
487,01-Feb-13,london_error,1.5131989,London
488,01-Feb-13,southwest_error,-1.0741959,Southwest
489,01-Feb-13,england_error,-0.0570755,England
490,01-Mar-13,northwest_error,0.032814026,Northwest
491,01-Mar-13,westmidlands_error,-1.5086746,Westmidlands
492,01-Mar-13,london_error,1.5447235,London
493,01-Mar-13,southwest_error,-1.2118759,Southwest
494,01-Mar-13,england_error,-0.097801208,England
495,01-Apr-13,northwest_error,0.036949158,Northwest
496,01-Apr-13,westmidlands_error,-1.630394,Westmidlands
497,01-Apr-13,london_error,1.6582031,London
498,01-Apr-13,southwest_error,-1.3643036,Southwest
499,01-Apr-13,england_error,-0.15359497,England
500,01-May-13,northwest_error,-0.05581665,Northwest
501,01-May-13,westmidlands_error,-1.7481842,Westmidlands
502,01-May-13,london_error,1.8777008,London
503,01-May-13,southwest_error,-1.3118057,Southwest
504,01-May-13,england_error,-0.10437012,England
505,01-Jun-13,northwest_error,-0.15167236,Northwest
506,01-Jun-13,westmidlands_error,-1.7699051,Westmidlands
507,01-Jun-13,london_error,1.8911743,London
508,01-Jun-13,southwest_error,-1.3642349,Southwest
509,01-Jun-13,england_error,-0.060173035,England
510,01-Jul-13,northwest_error,-0.1444397,Northwest
511,01-Jul-13,westmidlands_error,-1.8877029,Westmidlands
512,01-Jul-13,london_error,2.0106659,London
513,01-Jul-13,southwest_error,-1.3117447,Southwest
514,01-Jul-13,england_error,-0.11093903,England
515,01-Aug-13,northwest_error,-0.24029541,Northwest
516,01-Aug-13,westmidlands_error,-2.0094223,Westmidlands
517,01-Aug-13,london_error,2.224144,London
518,01-Aug-13,southwest_error,-1.2641678,Southwest
519,01-Aug-13,england_error,-0.066741943,England
520,01-Sep-13,northwest_error,-0.23614502,Northwest
521,01-Sep-13,westmidlands_error,-2.1311417,Westmidlands
522,01-Sep-13,london_error,2.1376266,London
523,01-Sep-13,southwest_error,-1.4165955,Southwest
524,01-Sep-13,england_error,-0.12254333,England
525,01-Oct-13,northwest_error,-0.32891083,Northwest
526,01-Oct-13,westmidlands_error,-2.2489319,Westmidlands
527,01-Oct-13,london_error,2.0571213,London
528,01-Oct-13,southwest_error,-1.3641129,Southwest
529,01-Oct-13,england_error,-0.17331696,England
530,01-Nov-13,northwest_error,-0.32476807,Northwest
531,01-Nov-13,westmidlands_error,-2.1706543,Westmidlands
532,01-Nov-13,london_error,2.1705933,London
